iteration,lasso_loss,ridge_loss,standard_loss
6.500000000000000000e+01,5.658777766516486230e-01,6.356482312510458588e-01,6.356291361269588158e-01
6.600000000000000000e+01,5.658777760158852921e-01,6.351970059528240231e-01,6.351776114197712486e-01
6.700000000000000000e+01,5.658777754640916813e-01,6.347520967279205450e-01,6.347324055313693369e-01
6.800000000000000000e+01,5.658777749854967398e-01,6.343133380833418933e-01,6.342933529630618850e-01
6.900000000000000000e+01,5.658777745707205264e-01,6.338805700641404473e-01,6.338602937518722502e-01
7.000000000000000000e+01,5.658777742115761455e-01,6.334536380467711281e-01,6.334330732640655048e-01
7.100000000000000000e+01,5.658777739009063223e-01,6.330323925406756702e-01,6.330115419968916912e-01
7.200000000000000000e+01,5.658777736324483998e-01,6.326166889977549168e-01,6.325955553882113280e-01
7.300000000000000000e+01,5.658777734007189864e-01,6.322063876294131690e-01,6.321849736336787595e-01
7.400000000000000000e+01,5.658777732009171446e-01,6.318013532308612845e-01,6.317796615111809233e-01
7.500000000000000000e+01,5.658777730288401253e-01,6.314014550123824288e-01,6.313794882122271135e-01
7.600000000000000000e+01,5.658777728808112029e-01,6.310065664372747074e-01,6.309843271800105180e-01
7.700000000000000000e+01,5.658777727536165036e-01,6.306165650661976763e-01,6.305940559538653067e-01
7.800000000000000000e+01,5.658777726444491618e-01,6.302313324076577183e-01,6.302085560198557035e-01
7.900000000000000000e+01,5.658777725508606915e-01,6.298507537743810447e-01,6.298277126672476856e-01
8.000000000000000000e+01,5.658777724707179102e-01,6.294747181453309581e-01,6.294514148506177298e-01
8.100000000000000000e+01,5.658777724021646360e-01,6.291031180331382311e-01,6.290795550573707873e-01
8.200000000000000000e+01,5.658777723435882701e-01,6.287358493567215545e-01,6.287120291804392247e-01
8.300000000000000000e+01,5.658777722935893761e-01,6.283728113188818964e-01,6.283487363959573413e-01
8.400000000000000000e+01,5.658777722509557018e-01,6.280139062886709311e-01,6.279895790456974103e-01
8.500000000000000000e+01,5.658777722146379752e-01,6.276590396883318101e-01,6.276344625240802833e-01
8.600000000000000000e+01,5.658777721837302543e-01,6.273081198846287565e-01,6.272832951695663795e-01
8.700000000000000000e+01,5.658777721574509423e-01,6.269610580843812953e-01,6.269359881602497575e-01
8.800000000000000000e+01,5.658777721351263557e-01,6.266177682340338118e-01,6.265924554134830737e-01
8.900000000000000000e+01,5.658777721161775132e-01,6.262781669230936821e-01,6.262526134893664498e-01
9.000000000000000000e+01,5.658777721001065908e-01,6.259421732912781033e-01,6.259163814979443741e-01
9.100000000000000000e+01,5.658777720864868188e-01,6.256097089392206323e-01,6.255836810099563161e-01
9.200000000000000000e+01,5.658777720749528228e-01,6.252806978425898832e-01,6.252544359709989452e-01
9.300000000000000000e+01,5.658777720651914089e-01,6.249550662694822734e-01,6.249285726189580670e-01
9.400000000000000000e+01,5.658777720569353464e-01,6.246327427009551458e-01,6.246060194045789382e-01
9.500000000000000000e+01,5.658777720499562625e-01,6.243136577545729260e-01,6.242867069150471737e-01
9.600000000000000000e+01,5.658777720440600900e-01,6.239977441108425227e-01,6.239705678004568989e-01
9.700000000000000000e+01,5.658777720390807398e-01,6.236849364424239539e-01,6.236575367030506856e-01
9.800000000000000000e+01,5.658777720348776574e-01,6.233751713460011779e-01,6.233475501891195814e-01
9.900000000000000000e+01,5.658777720313309390e-01,6.230683872767063258e-01,6.230405466834531003e-01
1.000000000000000000e+02,5.658777720283391099e-01,6.227645244849964179e-01,6.227364664062394750e-01
1.010000000000000000e+02,5.658777720258160171e-01,6.224635249558813088e-01,6.224352513123174724e-01
1.020000000000000000e+02,5.658777720236884967e-01,6.221653323504098276e-01,6.221368450326835164e-01
1.030000000000000000e+02,5.658777720218949314e-01,6.218698919493256261e-01,6.218411928181658554e-01
1.040000000000000000e+02,5.658777720203830297e-01,6.215771505988015866e-01,6.215482414851788429e-01
1.050000000000000000e+02,5.658777720191084937e-01,6.212870566581755183e-01,6.212579393634728442e-01
1.060000000000000000e+02,5.658777720180342419e-01,6.209995599496024310e-01,6.209702362458044966e-01
1.070000000000000000e+02,5.658777720171284109e-01,6.207146117095514448e-01,6.206850833394468303e-01
1.080000000000000000e+02,5.658777720163647995e-01,6.204321645420730613e-01,6.204024332194681968e-01
1.090000000000000000e+02,5.658777720157207591e-01,6.201521723737654090e-01,6.201222397837130584e-01
1.100000000000000000e+02,5.658777720151774160e-01,6.198745904103749593e-01,6.198444582094122524e-01
1.110000000000000000e+02,5.658777720147192269e-01,6.195993750949667644e-01,6.195690449113629983e-01
1.120000000000000000e+02,5.658777720143323142e-01,6.193264840676027116e-01,6.192959575016171447e-01
1.130000000000000000e+02,5.658777720140055756e-01,6.190558761264680632e-01,6.190251547506160357e-01
1.140000000000000000e+02,5.658777720137296852e-01,6.187875111903927694e-01,6.187565965497175968e-01
1.150000000000000000e+02,5.658777720134965383e-01,6.185213502627083804e-01,6.184902438750636833e-01
1.160000000000000000e+02,5.658777720132993627e-01,6.182573553963957025e-01,6.182260587527296236e-01
